employee_id,survey_date,satisfaction_score,engagement_index,manager_effectiveness,enps,comments
42,2024-10-01,8,9,9,42,Highly engaged; drives initiatives and mentors peers effectively.
42,2025-01-15,4,6,5,2,Meets most expectations; focus on prioritization and follow‑through.
43,2023-10-01,6,7,7,21,Engagement is steady; increase participation in reviews and retros.
43,2024-09-30,9,6,7,30,Shows steady progress and communicates effectively with stakeholders.
43,2025-07-30,6,3,7,0,Solid foundation—set clearer milestones to improve predictability.
44,2024-10-01,6,5,7,48,Meets most expectations; focus on prioritization and follow‑through.
44,2025-10-01,6,5,7,65,Engagement is steady; increase participation in reviews and retros.
45,2024-10-01,7,8,6,6,Good performance with growing influence across the team.
45,2025-10-01,9,5,7,-17,Reliable contributor with solid results and good collaboration.
46,2023-10-01,9,7,6,-9,Positive attitude and dependable delivery on commitments.
46,2024-10-01,6,5,7,12,Improve consistency and proactively flag risks earlier.
46,2025-10-01,6,9,7,13,Shows steady progress and communicates effectively with stakeholders.
47,2022-10-01,9,8,9,60,Demonstrates exceptional ownership and delivers high‑quality work.
47,2023-10-01,9,8,8,-18,Quality of work is strong; continue building cross‑functional partnerships.
47,2024-02-27,7,3,6,43,Works well with peers; develop deeper technical/role‑specific skills.
47,2025-10-01,9,5,6,62,Solid foundation—set clearer milestones to improve predictability.
48,2020-10-01,6,9,6,69,Quality of work is strong; continue building cross‑functional partnerships.
48,2021-10-01,6,7,6,17,Works well with peers; develop deeper technical/role‑specific skills.
48,2022-10-01,8,9,6,16,Positive attitude and dependable delivery on commitments.
48,2023-10-01,9,8,9,64,Demonstrates exceptional ownership and delivers high‑quality work.
48,2024-10-03,8,8,5,78,Shows steady progress and communicates effectively with stakeholders.
48,2025-10-01,6,8,7,48,Reliable contributor with solid results and good collaboration.
49,2022-10-01,7,6,9,49,Shows steady progress and communicates effectively with stakeholders.
49,2023-10-01,8,6,8,66,Shows steady progress and communicates effectively with stakeholders.
49,2024-10-01,8,5,7,-5,Engagement is steady; increase participation in reviews and retros.
49,2025-10-01,6,5,9,48,Meets most expectations; focus on prioritization and follow‑through.
50,2023-10-01,6,7,7,24,Improve consistency and proactively flag risks earlier.
50,2024-07-28,8,8,6,-45,Reliable contributor with solid results and good collaboration.
50,2025-10-01,7,8,7,0,Shows steady progress and communicates effectively with stakeholders.
51,2024-10-01,7,6,8,4,Positive attitude and dependable delivery on commitments.
51,2025-10-01,6,6,6,50,Solid foundation—set clearer milestones to improve predictability.
52,2020-10-01,9,9,6,17,Quality of work is strong; continue building cross‑functional partnerships.
52,2021-10-01,6,7,6,5,Solid foundation—set clearer milestones to improve predictability.
52,2022-10-01,9,7,8,-4,Reliable contributor with solid results and good collaboration.
52,2023-10-01,7,5,8,59,Engagement is steady; increase participation in reviews and retros.
52,2024-10-01,6,6,8,42,Works well with peers; develop deeper technical/role‑specific skills.
52,2025-10-01,9,7,8,68,Shows steady progress and communicates effectively with stakeholders.
53,2022-10-01,7,9,8,20,Positive attitude and dependable delivery on commitments.
53,2023-10-01,9,6,6,20,Quality of work is strong; continue building cross‑functional partnerships.
53,2024-10-01,7,6,9,15,Positive attitude and dependable delivery on commitments.
53,2025-10-01,8,6,8,41,Quality of work is strong; continue building cross‑functional partnerships.
54,2022-10-01,9,8,8,19,Reliable contributor with solid results and good collaboration.
54,2023-10-01,9,9,6,2,Reliable contributor with solid results and good collaboration.
54,2024-09-04,4,6,7,30,Improve consistency and proactively flag risks earlier.
54,2025-10-01,6,7,7,48,Works well with peers; develop deeper technical/role‑specific skills.
55,2020-10-01,7,7,6,-11,Engagement is steady; increase participation in reviews and retros.
55,2021-10-01,6,9,6,54,Reliable contributor with solid results and good collaboration.
55,2022-10-01,9,9,7,-16,Shows steady progress and communicates effectively with stakeholders.
55,2023-10-01,8,9,9,63,Demonstrates exceptional ownership and delivers high‑quality work.
55,2024-10-01,7,7,9,8,Shows steady progress and communicates effectively with stakeholders.
55,2025-10-01,8,6,9,44,Reliable contributor with solid results and good collaboration.
56,2021-10-01,6,8,8,44,Shows steady progress and communicates effectively with stakeholders.
56,2022-10-01,6,6,7,45,Works well with peers; develop deeper technical/role‑specific skills.
56,2023-10-01,7,8,7,2,Positive attitude and dependable delivery on commitments.
56,2024-10-01,7,8,8,-15,Good performance with growing influence across the team.
56,2025-10-01,7,8,7,-12,Reliable contributor with solid results and good collaboration.
57,2020-10-01,8,7,7,-15,Quality of work is strong; continue building cross‑functional partnerships.
57,2021-10-01,7,9,8,29,Quality of work is strong; continue building cross‑functional partnerships.
57,2022-10-01,9,8,6,-15,Shows steady progress and communicates effectively with stakeholders.
57,2023-10-01,8,5,8,13,Reliable contributor with solid results and good collaboration.
57,2024-10-01,7,8,9,26,Positive attitude and dependable delivery on commitments.
57,2025-10-01,6,9,8,28,Positive attitude and dependable delivery on commitments.
58,2022-10-01,7,9,9,25,Good performance with growing influence across the team.
58,2023-10-01,8,8,9,57,Good performance with growing influence across the team.
58,2024-12-08,7,7,6,-20,Improve consistency and proactively flag risks earlier.
58,2025-10-01,6,9,7,36,Reliable contributor with solid results and good collaboration.
59,2024-10-01,7,6,6,45,Solid foundation—set clearer milestones to improve predictability.
59,2025-10-01,8,6,7,3,Reliable contributor with solid results and good collaboration.
60,2020-10-01,7,7,6,64,Improve consistency and proactively flag risks earlier.
60,2021-10-01,7,8,8,-6,Reliable contributor with solid results and good collaboration.
60,2022-10-01,9,8,9,6,Consistently exceeds expectations and sets a strong example for the team.
60,2023-10-01,7,8,6,11,Reliable contributor with solid results and good collaboration.
60,2024-11-04,6,4,7,50,Improve consistency and proactively flag risks earlier.
60,2025-10-01,6,6,7,-3,Improve consistency and proactively flag risks earlier.
61,2023-10-01,6,9,7,-13,Shows steady progress and communicates effectively with stakeholders.
61,2024-10-01,7,7,7,46,Positive attitude and dependable delivery on commitments.
61,2025-10-01,9,9,6,64,Quality of work is strong; continue building cross‑functional partnerships.
62,2022-10-01,8,5,7,37,Meets most expectations; focus on prioritization and follow‑through.
62,2023-10-01,9,8,7,8,Good performance with growing influence across the team.
62,2024-12-26,8,4,5,21,Engagement is steady; increase participation in reviews and retros.
62,2025-10-01,9,9,7,54,Quality of work is strong; continue building cross‑functional partnerships.
63,2024-10-01,7,9,8,1,Reliable contributor with solid results and good collaboration.
63,2025-10-01,8,8,6,9,Reliable contributor with solid results and good collaboration.
64,2025-10-01,9,8,7,-7,Reliable contributor with solid results and good collaboration.
65,2025-10-01,6,6,9,-1,Shows steady progress and communicates effectively with stakeholders.
66,2023-10-01,6,6,9,58,Positive attitude and dependable delivery on commitments.
66,2024-11-17,10,8,6,17,Shows steady progress and communicates effectively with stakeholders.
66,2025-04-06,7,7,6,-3,Meets most expectations; focus on prioritization and follow‑through.
67,2024-05-23,10,7,3,42,Works well with peers; develop deeper technical/role‑specific skills.
67,2025-07-08,7,6,8,64,Reliable contributor with solid results and good collaboration.
68,2021-10-01,6,9,6,-9,Reliable contributor with solid results and good collaboration.
68,2022-10-01,9,6,6,66,Positive attitude and dependable delivery on commitments.
68,2023-10-01,9,9,9,27,Consistently exceeds expectations and sets a strong example for the team.
68,2024-10-01,6,9,9,9,Shows steady progress and communicates effectively with stakeholders.
68,2025-08-22,9,9,8,22,Highly engaged; drives initiatives and mentors peers effectively.
69,2022-10-01,9,8,8,55,Positive attitude and dependable delivery on commitments.
69,2023-10-01,6,8,7,12,Positive attitude and dependable delivery on commitments.
69,2024-10-01,9,6,6,16,Positive attitude and dependable delivery on commitments.
69,2025-10-01,9,7,7,-20,Reliable contributor with solid results and good collaboration.
70,2025-10-01,6,9,6,46,Positive attitude and dependable delivery on commitments.
71,2024-10-01,6,8,7,68,Positive attitude and dependable delivery on commitments.
71,2025-01-12,8,6,4,10,Improve consistency and proactively flag risks earlier.
72,2024-11-29,6,4,7,-20,Works well with peers; develop deeper technical/role‑specific skills.
72,2025-10-01,8,8,8,-7,Shows steady progress and communicates effectively with stakeholders.
73,2023-10-01,7,8,8,13,Shows steady progress and communicates effectively with stakeholders.
73,2024-09-07,7,8,5,53,Works well with peers; develop deeper technical/role‑specific skills.
73,2025-10-01,9,9,8,58,Demonstrates exceptional ownership and delivers high‑quality work.
74,2021-10-01,8,8,7,32,Positive attitude and dependable delivery on commitments.
74,2022-10-01,9,6,8,51,Shows steady progress and communicates effectively with stakeholders.
74,2023-10-01,9,7,8,53,Reliable contributor with solid results and good collaboration.
74,2024-10-01,8,8,7,64,Good performance with growing influence across the team.
74,2025-10-01,6,6,9,69,Good performance with growing influence across the team.
75,2024-10-01,7,5,7,45,Engagement is steady; increase participation in reviews and retros.
75,2025-06-30,8,6,6,-15,Improve consistency and proactively flag risks earlier.
76,2022-10-01,9,7,6,0,Quality of work is strong; continue building cross‑functional partnerships.
76,2023-10-01,9,5,6,-2,Solid foundation—set clearer milestones to improve predictability.
76,2024-10-01,9,9,9,-9,Exhibits strong leadership and proactive problem solving.
76,2025-05-06,6,6,6,3,Engagement is steady; increase participation in reviews and retros.
77,2022-10-01,6,7,7,27,Solid foundation—set clearer milestones to improve predictability.
77,2023-10-01,6,9,6,29,Reliable contributor with solid results and good collaboration.
77,2024-01-19,9,9,8,-5,Consistently exceeds expectations and sets a strong example for the team.
77,2025-10-01,9,9,8,56,Demonstrates exceptional ownership and delivers high‑quality work.
78,2020-10-01,6,6,9,36,Positive attitude and dependable delivery on commitments.
78,2021-10-01,6,6,8,4,Improve consistency and proactively flag risks earlier.
78,2022-10-01,6,9,7,58,Positive attitude and dependable delivery on commitments.
78,2023-10-01,7,5,8,10,Improve consistency and proactively flag risks earlier.
78,2024-10-01,6,6,6,15,Engagement is steady; increase participation in reviews and retros.
78,2025-07-24,2,10,3,54,Improve consistency and proactively flag risks earlier.
79,2021-10-01,9,7,9,31,Good performance with growing influence across the team.
79,2022-10-01,7,9,6,70,Reliable contributor with solid results and good collaboration.
79,2023-10-01,6,5,8,51,Solid foundation—set clearer milestones to improve predictability.
79,2024-10-01,8,7,8,8,Quality of work is strong; continue building cross‑functional partnerships.
79,2025-08-24,8,8,7,22,Positive attitude and dependable delivery on commitments.
80,2020-10-01,7,8,9,53,Good performance with growing influence across the team.
80,2021-10-01,6,7,7,32,Solid foundation—set clearer milestones to improve predictability.
80,2022-10-01,6,9,6,44,Quality of work is strong; continue building cross‑functional partnerships.
80,2023-10-01,8,7,6,45,Good performance with growing influence across the team.
80,2024-10-01,8,9,8,68,Good performance with growing influence across the team.
80,2025-10-01,9,8,9,11,Demonstrates exceptional ownership and delivers high‑quality work.
81,2024-12-22,5,4,3,19,Coaching recommended to improve reliability and collaboration.
81,2025-02-08,6,6,7,42,Works well with peers; develop deeper technical/role‑specific skills.
82,2022-10-01,8,8,9,55,Shows steady progress and communicates effectively with stakeholders.
82,2023-10-01,6,8,6,13,Meets most expectations; focus on prioritization and follow‑through.
82,2024-10-01,6,8,7,66,Quality of work is strong; continue building cross‑functional partnerships.
82,2025-10-01,7,7,9,25,Good performance with growing influence across the team.
83,2022-10-01,6,7,7,16,Improve consistency and proactively flag risks earlier.
83,2023-10-01,6,8,8,-11,Reliable contributor with solid results and good collaboration.
83,2024-10-01,7,8,8,25,Quality of work is strong; continue building cross‑functional partnerships.
83,2025-10-01,7,9,8,3,Reliable contributor with solid results and good collaboration.
84,2023-10-01,7,8,7,10,Positive attitude and dependable delivery on commitments.
84,2024-10-01,7,7,7,9,Good performance with growing influence across the team.
84,2025-10-01,7,6,8,-1,Quality of work is strong; continue building cross‑functional partnerships.
85,2020-10-01,6,5,6,66,Engagement is steady; increase participation in reviews and retros.
85,2021-10-01,9,9,6,49,Shows steady progress and communicates effectively with stakeholders.
85,2022-10-01,6,8,8,59,Shows steady progress and communicates effectively with stakeholders.
85,2023-10-01,8,8,8,42,Reliable contributor with solid results and good collaboration.
85,2024-10-01,7,9,8,30,Shows steady progress and communicates effectively with stakeholders.
85,2025-10-01,7,9,7,-14,Shows steady progress and communicates effectively with stakeholders.
86,2024-10-01,9,8,6,44,Quality of work is strong; continue building cross‑functional partnerships.
86,2025-10-01,8,8,7,38,Good performance with growing influence across the team.
87,2022-10-01,6,9,9,20,Reliable contributor with solid results and good collaboration.
87,2023-10-01,6,5,7,28,Improve consistency and proactively flag risks earlier.
87,2024-01-29,5,7,6,6,Engagement is steady; increase participation in reviews and retros.
87,2025-06-23,6,5,7,-7,Solid foundation—set clearer milestones to improve predictability.
88,2024-10-01,6,7,8,58,Quality of work is strong; continue building cross‑functional partnerships.
88,2025-10-01,8,6,8,10,Shows steady progress and communicates effectively with stakeholders.
89,2020-10-01,8,8,8,26,Shows steady progress and communicates effectively with stakeholders.
89,2021-10-01,7,8,9,6,Shows steady progress and communicates effectively with stakeholders.
89,2022-10-01,9,7,8,31,Good performance with growing influence across the team.
89,2023-10-01,8,8,7,53,Quality of work is strong; continue building cross‑functional partnerships.
89,2024-10-01,7,9,7,-8,Quality of work is strong; continue building cross‑functional partnerships.
89,2025-10-01,8,6,9,28,Good performance with growing influence across the team.
90,2024-10-01,7,6,7,40,Meets most expectations; focus on prioritization and follow‑through.
90,2025-06-15,2,7,3,83,Needs improvement in core responsibilities and responsiveness.
91,2023-10-01,6,6,9,43,Good performance with growing influence across the team.
91,2024-10-01,7,9,8,42,Good performance with growing influence across the team.
91,2025-10-01,8,7,6,30,Shows steady progress and communicates effectively with stakeholders.
92,2022-10-01,6,6,6,7,Engagement is steady; increase participation in reviews and retros.
92,2023-10-01,8,8,6,37,Shows steady progress and communicates effectively with stakeholders.
92,2024-11-21,9,6,7,45,Positive attitude and dependable delivery on commitments.
92,2025-10-01,8,7,8,26,Good performance with growing influence across the team.
93,2024-10-01,8,7,6,32,Quality of work is strong; continue building cross‑functional partnerships.
93,2025-08-19,7,2,9,47,Improve consistency and proactively flag risks earlier.
94,2022-10-01,6,7,7,53,Solid foundation—set clearer milestones to improve predictability.
94,2023-10-01,7,7,8,21,Reliable contributor with solid results and good collaboration.
94,2024-10-01,9,8,6,28,Reliable contributor with solid results and good collaboration.
94,2025-10-01,8,8,7,1,Reliable contributor with solid results and good collaboration.
95,2021-10-01,8,8,9,-11,Shows steady progress and communicates effectively with stakeholders.
95,2022-10-01,6,6,8,9,Engagement is steady; increase participation in reviews and retros.
95,2023-10-01,8,7,8,70,Shows steady progress and communicates effectively with stakeholders.
95,2024-10-01,8,9,9,14,Consistently exceeds expectations and sets a strong example for the team.
95,2025-10-01,9,7,9,32,Good performance with growing influence across the team.
96,2024-09-23,10,3,4,30,Solid foundation—set clearer milestones to improve predictability.
96,2025-10-01,7,6,6,-4,Meets most expectations; focus on prioritization and follow‑through.
97,2024-10-01,7,7,6,6,Works well with peers; develop deeper technical/role‑specific skills.
97,2025-05-15,6,7,7,-29,Engagement is steady; increase participation in reviews and retros.
98,2023-10-01,7,8,6,-8,Shows steady progress and communicates effectively with stakeholders.
98,2024-10-01,6,8,6,-17,Improve consistency and proactively flag risks earlier.
98,2025-02-16,9,6,8,23,Quality of work is strong; continue building cross‑functional partnerships.
99,2022-10-01,9,9,6,-7,Shows steady progress and communicates effectively with stakeholders.
99,2023-10-01,8,9,7,-10,Quality of work is strong; continue building cross‑functional partnerships.
99,2024-06-11,6,8,10,27,Reliable contributor with solid results and good collaboration.
99,2025-10-01,9,7,7,11,Reliable contributor with solid results and good collaboration.
100,2021-10-01,8,8,7,-4,Shows steady progress and communicates effectively with stakeholders.
100,2022-10-01,7,5,6,64,Engagement is steady; increase participation in reviews and retros.
100,2023-10-01,8,7,9,39,Shows steady progress and communicates effectively with stakeholders.
100,2024-10-01,8,9,9,-3,Consistently exceeds expectations and sets a strong example for the team.
100,2025-10-01,7,9,9,60,Good performance with growing influence across the team.
101,2025-10-01,9,9,8,24,Demonstrates exceptional ownership and delivers high‑quality work.
102,2025-10-01,9,9,7,-9,Reliable contributor with solid results and good collaboration.
103,2025-10-01,9,7,8,32,Quality of work is strong; continue building cross‑functional partnerships.
104,2024-10-01,8,6,8,-19,Positive attitude and dependable delivery on commitments.
104,2025-02-10,10,6,7,31,Good performance with growing influence across the team.
105,2023-10-01,6,9,7,24,Reliable contributor with solid results and good collaboration.
105,2024-10-01,8,8,6,68,Quality of work is strong; continue building cross‑functional partnerships.
105,2025-10-01,9,8,8,-19,Quality of work is strong; continue building cross‑functional partnerships.
106,2020-10-01,9,7,7,-20,Quality of work is strong; continue building cross‑functional partnerships.
106,2021-10-01,8,6,9,51,Shows steady progress and communicates effectively with stakeholders.
106,2022-10-01,9,8,7,0,Shows steady progress and communicates effectively with stakeholders.
106,2023-10-01,9,8,7,13,Positive attitude and dependable delivery on commitments.
106,2024-10-01,6,8,7,46,Positive attitude and dependable delivery on commitments.
